# eps (GeV/fm^3   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)
   4.2449798424   0.8082083253   22.2607408268   0.0000000000
   4.3346721057   0.8306659515   22.6549914791   0.0000000000
   4.4254213997   0.8535192751   23.0521426849   0.0000000000
   4.5172431663   0.8767712177   23.4522364521   0.0000000000
   4.6101527379   0.9004247425   23.8553137680   0.0000000000
   4.7041653415   0.9244828531   24.2614146321   0.0000000000
   4.7992961023   0.9489485927   24.6705780901   0.0000000000
   4.8955600479   0.9738250429   25.0828422682   0.0000000000
   4.9929721122   0.9991153232   25.4982444059   0.0000000000
   5.0915471403   1.0248225898   25.9168208902   0.0000000000
   5.1912998922   1.0509500350   26.3386072878   0.0000000000
   5.2922450478   1.0775008860   26.7636383772   0.0000000000
   5.3943972104   1.1044784046   27.1919481801   0.0000000000
   5.4977709116   1.1318858863   27.6235699914   0.0000000000
   5.6023806151   1.1597266595   28.0585364089   0.0000000000
   5.7082407209   1.1880040847   28.4968793618   0.0000000000
   5.8153655693   1.2167215542   28.9386301378   0.0000000000
   5.9237694449   1.2458824911   29.3838194098   0.0000000000
   6.0334665799   1.2754903492   29.8324772614   0.0000000000
   6.1444711583   1.3055486117   30.2846332115   0.0000000000
   6.2567973194   1.3360607913   30.7403162375   0.0000000000
   6.3704591606   1.3670304293   31.1995547982   0.0000000000
   6.4854707417   1.3984610954   31.6623768556   0.0000000000
   6.6018460871   1.4303563867   32.1288098953   0.0000000000
   6.7195991897   1.4627199279   32.5988809467   0.0000000000
   6.8387440135   1.4955553702   33.0726166018   0.0000000000
   6.9592944963   1.5288663913   33.5500430340   0.0000000000
   7.0812645527   1.5626566951   34.0311860149   0.0000000000
   7.2046680769   1.5969300107   34.5160709317   0.0000000000
   7.3295189449   1.6316900926   35.0047228026   0.0000000000
   7.4558310170   1.6669407202   35.4971662926   0.0000000000
   7.5836181406   1.7026856972   35.9934257277   0.0000000000
   7.7128941517   1.7389288516   36.4935251094   0.0000000000
   7.8436728779   1.7756740353   36.9974881277   0.0000000000
   7.9759681399   1.8129251235   37.5053381742   0.0000000000
   8.1097937538   1.8506860150   38.0170983541   0.0000000000
   8.2451635328   1.8889606312   38.5327914982   0.0000000000
   8.3820912893   1.9277529165   39.0524401737   0.0000000000
   8.5205908367   1.9670668375   39.5760666953   0.0000000000
   8.6606759908   2.0069063832   40.1036931355   0.0000000000
   8.8023605718   2.0472755644   40.6353413339   0.0000000000
   8.9456584055   2.0881784137   41.1710329072   0.0000000000
   9.0905833252   2.1296189851   41.7107892578   0.0000000000
   9.2371491730   2.1716013542   42.2546315823   0.0000000000
   9.3853698013   2.2141296173   42.8025808803   0.0000000000
   9.5352590736   2.2572078919   43.3546579614   0.0000000000
   9.6868308668   2.3008403160   43.9108834536   0.0000000000
   9.8400990715   2.3450310484   44.4712778097   0.0000000000
   9.9950775936   2.3897842680   45.0358613149   0.0000000000
  10.1517803555   2.4351041741   45.6046540930   0.0000000000
  10.3102212972   2.4809949860   46.1776761126   0.0000000000
  10.4704143771   2.5274609427   46.7549471937   0.0000000000
  10.6323735733   2.5745063033   47.3364870129   0.0000000000
  10.7961128844   2.6221353462   47.9223151092   0.0000000000
  10.9616463306   2.6703523694   48.5124508896   0.0000000000
  11.1289879544   2.7191616903   49.1069136337   0.0000000000
  11.2981518218   2.7685676454   49.7057224987   0.0000000000
  11.4691520227   2.8185745903   50.3088965245   0.0000000000
  11.6420026720   2.8691868998   50.9164546377   0.0000000000
  11.8167179104   2.9204089672   51.5284156561   0.0000000000
  11.9933119050   2.9722452050   52.1447982927   0.0000000000
  12.1717988502   3.0247000439   52.7656211599   0.0000000000
  12.3521929679   3.0777779335   53.3909027731   0.0000000000
  12.5345085090   3.1314833418   54.0206615544   0.0000000000
  12.7187597532   3.1858207551   54.6549158361   0.0000000000
  12.9049610102   3.2407946781   55.2936838638   0.0000000000
  13.0931266200   3.2964096335   55.9369838002   0.0000000000
  13.2832709535   3.3526701623   56.5848337274   0.0000000000
  13.4754084133   3.4095808236   57.2372516507   0.0000000000
  13.6695534339   3.4671461943   57.8942555006   0.0000000000
  13.8657204822   3.5253708692   58.5558631362   0.0000000000
  14.0639240585   3.5842594611   59.2220923475   0.0000000000
  14.2641786962   3.6438166003   59.8929608580   0.0000000000
  14.4664989629   3.7040469351   60.5684863269   0.0000000000
  14.6708994607   3.7649551312   61.2486863518   0.0000000000
  14.8773948263   3.8265458719   61.9335784708   0.0000000000
  15.0859997318   3.8888238580   62.6231801642   0.0000000000
  15.2967288848   3.9517938079   63.3175088573   0.0000000000
  15.5095970290   4.0154604572   64.0165819219   0.0000000000
  15.7246189446   4.0798285589   64.7204166782   0.0000000000
  15.9418094483   4.1449028835   65.4290303968   0.0000000000
  16.1611833941   4.2106882185   66.1424403004   0.0000000000
  16.3827556732   4.2771893686   66.8606635656   0.0000000000
  16.6065412147   4.3444111557   67.5837173241   0.0000000000
  16.8325549857   4.4123584191   68.3116186649   0.0000000000
  17.0608119916   4.4810360146   69.0443846352   0.0000000000
  17.2913272763   4.5504488155   69.7820322422   0.0000000000
  17.5241159227   4.6206017120   70.5245784545   0.0000000000
  17.7591930530   4.6914996110   71.2720402032   0.0000000000
  17.9965738286   4.7631474365   72.0244343834   0.0000000000
  18.2362734507   4.8355501295   72.7817778554   0.0000000000
  18.4783071602   4.9087126476   73.5440874458   0.0000000000
  18.7226902383   4.9826399654   74.3113799487   0.0000000000
  18.9694380065   5.0573370741   75.0836721269   0.0000000000
  19.2185658270   5.1328089818   75.8609807128   0.0000000000
  19.4700891027   5.2090607132   76.6433224095   0.0000000000
  19.7240232773   5.2860973098   77.4307138919   0.0000000000
  19.9803838359   5.3639238298   78.2231718075   0.0000000000
  20.2391863048   5.4425453478   79.0207127774   0.0000000000
  20.5004462522   5.5219669552   79.8233533969   0.0000000000
  20.7641792875   5.6021937600   80.6311102370   0.0000000000
  21.0304010624   5.6832308866   81.4439998445   0.0000000000
  21.2991272705   5.7650834761   82.2620387434   0.0000000000
  21.5703736475   5.8477566860   83.0852434351   0.0000000000
  21.8441559718   5.9312556904   83.9136303995   0.0000000000
  22.1204900640   6.0155856798   84.7472160958   0.0000000000
  22.3993917876   6.1007518610   85.5860169627   0.0000000000
  22.6808770486   6.1867594575   86.4300494195   0.0000000000
  22.9649617962   6.2736137092   87.2793298667   0.0000000000
  23.2516620226   6.3613198721   88.1338746865   0.0000000000
  23.5409937632   6.4498832188   88.9937002432   0.0000000000
  23.8329730966   6.5393090382   89.8588228841   0.0000000000
  24.1276161449   6.6296026357   90.7292589399   0.0000000000
  24.4249390739   6.7207693327   91.6050247254   0.0000000000
  24.7249580929   6.8128144672   92.4861365397   0.0000000000
  25.0276894549   6.9057433932   93.3726106670   0.0000000000
  25.3331494569   6.9995614813   94.2644633767   0.0000000000
  25.6413544397   7.0942741183   95.1617109243   0.0000000000
  25.9523207885   7.1898867069   96.0643695517   0.0000000000
  26.2660649322   7.2864046665   96.9724554875   0.0000000000
  26.5826033444   7.3838334324   97.8859849474   0.0000000000
  26.9019525426   7.4821784563   98.8049741348   0.0000000000
  27.2241290892   7.5814452059   99.7294392411   0.0000000000
  27.5491495907   7.6816391654  100.6593964460   0.0000000000
  27.8770306983   7.7827658349  101.5948619180   0.0000000000
  28.2077891080   7.8848307308  102.5358518146   0.0000000000
  28.5414415604   7.9878393854  103.4823822827   0.0000000000
  28.8780048409   8.0917973476  104.4344694590   0.0000000000
  29.2174957800   8.1967101819  105.3921294701   0.0000000000
  29.5599312528   8.3025834695  106.3553784332   0.0000000000
  29.9053281796   8.4094228072  107.3242324560   0.0000000000
  30.2537035260   8.5172338081  108.2987076371   0.0000000000
  30.6050743023   8.6260221015  109.2788200663   0.0000000000
  30.9594575643   8.7357933327  110.2645858251   0.0000000000
  31.3168704131   8.8465531630  111.2560209863   0.0000000000
  31.6773299949   8.9583072698  112.2531416152   0.0000000000
  32.0408535014   9.0710613467  113.2559637690   0.0000000000
  32.4074581698   9.1848211032  114.2645034973   0.0000000000
  32.7771612827   9.2995922649  115.2787768427   0.0000000000
  33.1499801681   9.4153805735  116.2987998404   0.0000000000
  33.5259321999   9.5321917865  117.3245885188   0.0000000000
  33.9050347973   9.6500316777  118.3561588996   0.0000000000
  34.2873054255   9.7689060369  119.3935269982   0.0000000000
  34.6727615951   9.8888206696  120.4367088235   0.0000000000
  35.0614208626  10.0097813978  121.4857203782   0.0000000000
  35.4533008303  10.1317940590  122.5405776594   0.0000000000
  35.8484191465  10.2548645070  123.6012966581   0.0000000000
  36.2467935051  10.3789986115  124.6678933600   0.0000000000
  36.6484416462  10.5042022583  125.7403837451   0.0000000000
  37.0533813555  10.6304813489  126.8187837884   0.0000000000
  37.4616304652  10.7578418010  127.9031094595   0.0000000000
  37.8732068531  10.8862895483  128.9933767233   0.0000000000
  38.2881284432  11.0158305403  130.0896015397   0.0000000000
  38.7064132057  11.1464707426  131.1917998640   0.0000000000
  39.1280791569  11.2782161366  132.2999876469   0.0000000000
  39.5531443591  11.4110727197  133.4141808346   0.0000000000
  39.9816269211  11.5450465053  134.5343953692   0.0000000000
  40.4135449975  11.6801435228  135.6606471885   0.0000000000
  40.8489167896  11.8163698175  136.7929522262   0.0000000000
  41.2877605447  11.9537314503  137.9313264122   0.0000000000
  41.7300945566  12.0922344986  139.0757856724   0.0000000000
  42.1759371651  12.2318850554  140.2263459291   0.0000000000
  42.6253067568  12.3726892295  141.3830231010   0.0000000000
  43.0782217644  12.5146531458  142.5458331031   0.0000000000
  43.5347006670  12.6577829453  143.7147918473   0.0000000000
  43.9947619903  12.8020847844  144.8899152417   0.0000000000
  44.4584243064  12.9475648359  146.0712191918   0.0000000000
  44.9257062338  13.0942292883  147.2587195993   0.0000000000
  45.3966264376  13.2420843459  148.4524323633   0.0000000000
  45.8712036293  13.3911362291  149.6523733798   0.0000000000
  46.3494565671  13.5413911740  150.8585585419   0.0000000000
  46.8314040556  13.6928554329  152.0710037398   0.0000000000
  47.3170649461  13.8455352735  153.2897248611   0.0000000000
  47.8064581364  13.9994369799  154.5147377907   0.0000000000
  48.2996025711  14.1545668516  155.7460584109   0.0000000000
  48.7965172413  14.3109312045  156.9837026015   0.0000000000
  49.2972211847  14.4685363700  158.2276862398   0.0000000000
  49.8017334857  14.6273886954  159.4780252008   0.0000000000
  50.3100732755  14.7874945441  160.7347353572   0.0000000000
  50.8222597320  14.9488602952  161.9978325793   0.0000000000
  51.3383120797  15.1114923436  163.2673327353   0.0000000000
  51.8582495898  15.2753971003  164.5432516912   0.0000000000
  52.3820915804  15.4405809919  165.8256053112   0.0000000000
  52.9098574163  15.6070504611  167.1144094570   0.0000000000
  53.4415665091  15.7748119663  168.4096799888   0.0000000000
