# eps (GeV/fm^3   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)
   8.0957044979   1.8279256287   37.8764508648   0.0000000000
   8.2308638115   1.8660591977   38.3913422403   0.0000000000
   8.3675769791   1.9047096275   38.9101765402   0.0000000000
   8.5058581215   1.9438808729   39.4329773374   0.0000000000
   8.6457213460   1.9835769121   39.9597678876   0.0000000000
   8.7871807491   2.0238017463   40.4905711438   0.0000000000
   8.9302504186   2.0645593995   41.0254097692   0.0000000000
   9.0749444360   2.1058539184   41.5643061502   0.0000000000
   9.2212768784   2.1476893718   42.1072824081   0.0000000000
   9.3692618209   2.1900698505   42.6543604108   0.0000000000
   9.5189133382   2.2329994671   43.2055617840   0.0000000000
   9.6702455069   2.2764823556   43.7609079213   0.0000000000
   9.8232724070   2.3205226715   44.3204199946   0.0000000000
   9.9780081236   2.3651245913   44.8841189630   0.0000000000
  10.1344667488   2.4102923120   45.4520255826   0.0000000000
  10.2926623831   2.4560300518   46.0241604148   0.0000000000
  10.4526091370   2.5023420491   46.6005438346   0.0000000000
  10.6143211323   2.5492325624   47.1811960384   0.0000000000
  10.7778125038   2.5967058707   47.7661370519   0.0000000000
  10.9430974003   2.6447662728   48.3553867370   0.0000000000
  11.1101899862   2.6934180870   48.9489647985   0.0000000000
  11.2791044422   2.7426656517   49.5468907912   0.0000000000
  11.4498549673   2.7925133244   50.1491841256   0.0000000000
  11.6224557791   2.8429654821   50.7558640743   0.0000000000
  11.7969211153   2.8940265211   51.3669497775   0.0000000000
  11.9732652347   2.9457008566   51.9824602485   0.0000000000
  12.1515024183   2.9979929228   52.6024143788   0.0000000000
  12.3316469698   3.0509071728   53.2268309435   0.0000000000
  12.5137132172   3.1044480784   53.8557286056   0.0000000000
  12.6977155130   3.1586201299   54.4891259206   0.0000000000
  12.8836682354   3.2134278363   55.1270413414   0.0000000000
  13.0715857891   3.2688757248   55.7694932215   0.0000000000
  13.2614826061   3.3249683410   56.4164998201   0.0000000000
  13.4533731463   3.3817102487   57.0680793050   0.0000000000
  13.6472718981   3.4391060299   57.7242497567   0.0000000000
  13.8431933795   3.4971602845   58.3850291717   0.0000000000
  14.0411521384   3.5558776305   59.0504354662   0.0000000000
  14.2411627534   3.6152627037   59.7204864787   0.0000000000
  14.4432398344   3.6753201577   60.3951999735   0.0000000000
  14.6473980230   3.7360546637   61.0745936436   0.0000000000
  14.8536519933   3.7974709109   61.7586851132   0.0000000000
  15.0620164523   3.8595736057   62.4474919408   0.0000000000
  15.2725061406   3.9223674724   63.1410316215   0.0000000000
  15.4851358324   3.9858572524   63.8393215895   0.0000000000
  15.6999203367   4.0500477048   64.5423792204   0.0000000000
  15.9168744971   4.1149436058   65.2502218338   0.0000000000
  16.1360131928   4.1805497492   65.9628666949   0.0000000000
  16.3573513386   4.2468709457   66.6803310172   0.0000000000
  16.5809038854   4.3139120234   67.4026319639   0.0000000000
  16.8066858207   4.3816778276   68.1297866503   0.0000000000
  17.0347121690   4.4501732203   68.8618121454   0.0000000000
  17.2649979921   4.5194030811   69.5987254734   0.0000000000
  17.4975583892   4.5893723062   70.3405436161   0.0000000000
  17.7324084979   4.6600858089   71.0872835137   0.0000000000
  17.9695634937   4.7315485195   71.8389620669   0.0000000000
  18.2090385909   4.8037653849   72.5955961381   0.0000000000
  18.4508490427   4.8767413692   73.3572025531   0.0000000000
  18.6950101415   4.9504814531   74.1237981021   0.0000000000
  18.9415372192   5.0249906340   74.8953995413   0.0000000000
  19.1904456473   5.1002739264   75.6720235941   0.0000000000
  19.4417508376   5.1763363610   76.4536869522   0.0000000000
  19.6954682419   5.2531829856   77.2404062769   0.0000000000
  19.9516133524   5.3308188644   78.0321982001   0.0000000000
  20.2102017025   5.4092490784   78.8290793256   0.0000000000
  20.4712488659   5.4884787250   79.6310662298   0.0000000000
  20.7347704581   5.5685129183   80.4381754628   0.0000000000
  21.0007821354   5.6493567889   81.2504235496   0.0000000000
  21.2692995961   5.7310154838   82.0678269905   0.0000000000
  21.5403385799   5.8134941668   82.8904022627   0.0000000000
  21.8139148688   5.8967980178   83.7181658205   0.0000000000
  22.0900442866   5.9809322333   84.5511340962   0.0000000000
  22.3687426996   6.0659020264   85.3893235012   0.0000000000
  22.6500260164   6.1517126262   86.2327504267   0.0000000000
  22.9339101883   6.2383692785   87.0814312441   0.0000000000
  23.2204112094   6.3258772454   87.9353823059   0.0000000000
  23.5095451166   6.4142418053   88.7946199464   0.0000000000
  23.8013279900   6.5034682529   89.6591604822   0.0000000000
  24.0957759529   6.5935618993   90.5290202131   0.0000000000
  24.3929051717   6.6845280719   91.4042154223   0.0000000000
  24.6927318566   6.7763721141   92.2847623774   0.0000000000
  24.9952722611   6.8690993860   93.1706773304   0.0000000000
  25.3005426825   6.9627152635   94.0619765189   0.0000000000
  25.6085594620   7.0572251391   94.9586761661   0.0000000000
  25.9193389846   7.1526344214   95.8607924813   0.0000000000
  26.2328976796   7.2489485351   96.7683416608   0.0000000000
  26.5492520201   7.3461729211   97.6813398880   0.0000000000
  26.8684185236   7.4443130366   98.5998033339   0.0000000000
  27.1904137521   7.5433743549   99.5237481574   0.0000000000
  27.5152543117   7.6433623654  100.4531905060   0.0000000000
  27.8429568533   7.7442825738  101.3881465160   0.0000000000
  28.1735380724   7.8461405017  102.3286323129   0.0000000000
  28.5070147091   7.9489416870  103.2746640118   0.0000000000
  28.8434035484   8.0526916837  104.2262577178   0.0000000000
  29.1827214199   8.1573960618  105.1834295260   0.0000000000
  29.5249851985   8.2630604075  106.1461955224   0.0000000000
  29.8702118038   8.3696903230  107.1145717837   0.0000000000
  30.2184182007   8.4772914265  108.0885743778   0.0000000000
  30.5696213993   8.5858693525  109.0682193643   0.0000000000
  30.9238384546   8.6954297514  110.0535227943   0.0000000000
  31.2810864672   8.8059782896  111.0445007112   0.0000000000
  31.6413825828   8.9175206497  112.0411691505   0.0000000000
  32.0047439929   9.0300625301  113.0435441404   0.0000000000
  32.3711879340   9.1436096455  114.0516417018   0.0000000000
  32.7407316884   9.2581677263  115.0654778487   0.0000000000
  33.1133925840   9.3737425194  116.0850685883   0.0000000000
  33.4891879941   9.4903397871  117.1104299214   0.0000000000
  33.8681353379   9.6079653081  118.1415778424   0.0000000000
  34.2502520804   9.7266248769  119.1785283395   0.0000000000
  34.6355557320   9.8463243043  120.2212973953   0.0000000000
  35.0240638493   9.9670694166  121.2699009863   0.0000000000
  35.4157940347  10.0888660564  122.3243550837   0.0000000000
  35.8107639364  10.2117200822  123.3846756532   0.0000000000
  36.2089912487  10.3356373685  124.4508786556   0.0000000000
  36.6104937117  10.4606238057  125.5229800463   0.0000000000
  37.0152891117  10.5866853001  126.6009957760   0.0000000000
  37.4233952811  10.7138277740  127.6849417908   0.0000000000
  37.8348300984  10.8420571657  128.7748340319   0.0000000000
  38.2496114880  10.9713794294  129.8706884366   0.0000000000
  38.6677574209  11.1018005353  130.9725209373   0.0000000000
  39.0892859140  11.2333264693  132.0803474627   0.0000000000
  39.5142150306  11.3659632335  133.1941839374   0.0000000000
  39.9425628802  11.4997168458  134.3140462820   0.0000000000
  40.3743476187  11.6345933400  135.4399504133   0.0000000000
  40.8095874483  11.7705987659  136.5719122446   0.0000000000
  41.2483006176  11.9077391890  137.7099476855   0.0000000000
  41.6905054215  12.0460206911  138.8540726423   0.0000000000
  42.1362202014  12.1854493695  140.0043030178   0.0000000000
  42.5854633453  12.3260313376  141.1606547117   0.0000000000
  43.0382532874  12.4677727246  142.3231436206   0.0000000000
  43.4946085086  12.6106796758  143.4917856379   0.0000000000
  43.9545475362  12.7547583522  144.6665966542   0.0000000000
  44.4180889442  12.9000149308  145.8475925572   0.0000000000
  44.8852513531  13.0464556043  147.0347892318   0.0000000000
  45.3560534299  13.1940865815  148.2282025603   0.0000000000
  45.8305138883  13.3429140869  149.4278484223   0.0000000000
  46.3086514888  13.4929443611  150.6337426949   0.0000000000
  46.7904850382  13.6441836604  151.8459012528   0.0000000000
  47.2760333903  13.7966382570  153.0643399682   0.0000000000
  47.7653154455  13.9503144390  154.2890747112   0.0000000000
  48.2583501507  14.1052185104  155.5201213494   0.0000000000
  48.7551564999  14.2613567910  156.7574957485   0.0000000000
  49.2557535336  14.4187356164  158.0012137718   0.0000000000
  49.7601603392  14.5773613383  159.2512912809   0.0000000000
  50.2683960506  14.7372403241  160.5077441351   0.0000000000
  50.7804798489  14.8983789570  161.7705881919   0.0000000000
  51.2964309617  15.0607836362  163.0398393069   0.0000000000
  51.8162686637  15.2244607766  164.3155133340   0.0000000000
  52.3400122761  15.3894168091  165.5976261251   0.0000000000
  52.8676811672  15.5556581804  166.8861935306   0.0000000000
  53.3992947521  15.7231913530  168.1812313993   0.0000000000
  53.9348724929  15.8920228053  169.4827555780   0.0000000000
  54.4744338983  16.0621590315  170.7907819123   0.0000000000
  55.0179985242  16.2336065418  172.1053262462   0.0000000000
  55.5655859732  16.4063718620  173.4264044221   0.0000000000
  56.1172158951  16.5804615338  174.7540322811   0.0000000000
  56.6729079864  16.7558821150  176.0882256628   0.0000000000
  57.2326819905  16.9326401790  177.4290004055   0.0000000000
  57.7965576981  17.1107423149  178.7763723461   0.0000000000
  58.3645549466  17.2901951280  180.1303573204   0.0000000000
  58.9366936203  17.4710052392  181.4909711627   0.0000000000
  59.5129936509  17.6531792852  182.8582297064   0.0000000000
  60.0934750166  17.8367239188  184.2321487834   0.0000000000
  60.6781577430  18.0216458082  185.6127442246   0.0000000000
  61.2670619026  18.2079516379  187.0000318600   0.0000000000
  61.8602076148  18.3956481080  188.3940275181   0.0000000000
  62.4576150461  18.5847419343  189.7947470267   0.0000000000
  63.0593044103  18.7752398486  191.2022062124   0.0000000000
  63.6652959679  18.9671485985  192.6164209008   0.0000000000
  64.2756100267  19.1604749475  194.0374069168   0.0000000000
  64.8902669414  19.3552256747  195.4651800839   0.0000000000
  65.5092871139  19.5514075753  196.8997562250   0.0000000000
  66.1326909931  19.7490274601  198.3411511622   0.0000000000
  66.7604990751  19.9480921558  199.7893807165   0.0000000000
  67.3927319030  20.1486085050  201.2444607082   0.0000000000
  68.0294100671  20.3505833660  202.7064069566   0.0000000000
  68.6705542046  20.5540236130  204.1752352805   0.0000000000
  69.3161850001  20.7589361359  205.6509614976   0.0000000000
  69.9663231851  20.9653278405  207.1336014252   0.0000000000
  70.6209895385  21.1732056486  208.6231708796   0.0000000000
  71.2802048860  21.3825764974  210.1196856765   0.0000000000
  71.9439901006  21.5934473403  211.6231616309   0.0000000000
  72.6123661025  21.8058251463  213.1336145571   0.0000000000
  73.2853538589  22.0197169003  214.6510602687   0.0000000000
  73.9629743845  22.2351296031  216.1755145787   0.0000000000
  74.6452487407  22.4520702710  217.7069932996   0.0000000000
  75.3321980363  22.6705459364  219.2455122432   0.0000000000
  76.0238434273  22.8905636475  220.7910872205   0.0000000000
